collid,coll acryonym,coll name
1,DBG,"Denver Botanic Gardens, Sam Mitchel Herbarium of Fungi"
2,ILLS,"University of Illinois, Illinois Natural History Survey Fungarium"
3,NY,New York Botanical Garden
4,USU,"Intermountain Herbarium (fungi, not lichens), Utah State University"
5,MP,General Observation and Personal Collections
6,ARIZ,"University of Arizona, Gilbertson Mycological Herbarium, specimen-based"
7,TENN-F,University of Tennessee Fungal Herbarium
8,DEWV,Davis & Elkins College Herbarium
9,WTU,University of Washington Herbarium
10,MICH,University of Michigan Herbarium
11,F,Field Museum of Natural History
12,OSC,Oregon State University Herbarium
13,FLAS,University of Florida Herbarium
14,NCU,University of North Carolina at Chapel Hill Herbarium: Fungi
15,LSUM,"Louisiana State University, Bernard Lowy Mycological Herbarium"
17,UC,"University of California Berkeley, University Herbarium"
18,SFSU,"San Francisco State University, Harry D. Thiers Herbarium"
19,MIN,"University of Minnesota, Bell Museum of Natural History Herbarium Fungal Collection"
20,ISC,"Iowa State University, Ada Hayden Herbarium"
21,NCSLG,"North Carolina State University, Larry F. Grand Mycological Herbarium"
22,FH,"Harvard University, Farlow Herbarium"
23,CUP,Cornell University Plant Pathology Herbarium
24,BPI,USDA United States National Fungus Collections
25,DUKE,Duke University Herbarium Fungal Collection
26,CSU,University of Central Oklahoma Herbarium
27,HCOA,"College of the Atlantic, Acadia National Park Herbarium"
28,MONTU,University of Montana Herbarium
29,VPI,"Virginia Tech University, Massey Herbarium - Fungi"
30,EIU,Eastern Illinois University
31,ILL,University of Illinois Herbarium
32,MU,"Miami University, Willard Sherman Turrell Herbarium"
33,SYRF,"State University of New York, SUNY College of Environmental Science and Forestry Herbarium"
34,CORT,State University of New York College at Cortland
35,RMS,"University of Wyoming, Wilhelm G. Solheim Mycological Herbarium"
36,MUOB,Mushroom Observer
37,UCSC,University of California Santa Cruz Fungal Herbarium
38,NYS,New York State Museum Mycology Collection
39,FLD,Fort Lewis College Herbarium
40,VT,"University of Vermont, Pringle Herbarium, Macrofungi"
41,USF,University of South Florida Herbarium - Fungi including lichens
42,PUL,"Purdue University, Kriebel Herbarium"
43,HAW-F,"University of Hawaii, Joseph F. Rock Herbarium"
44,GAM,"University of Georgia, Julian H. Miller Mycological Herbarium"
45,WIS,University of Wisconsin-Madison Herbarium
46,PUR,"Purdue University, Arthur Fungarium"
47,CFMR,"USDA Forest Service, Center for Forest Mycology Research"
48,FPF,"USDA Forest Service, Rocky Mountain Research Station"
49,UBC,University of British Columbia Herbarium
50,NEB,"University of Nebraska State Museum, C.E. Bessey Herbarium - Fungi"
51,USAM,University of South Alabama Herbarium
52,CLEMS,Clemson University Herbarium
53,ACAD,"Acadia University, E. C. Smith Herbarium"
54,BRU,Brown University Herbarium
55,BISH,"Bishop Museum, Herbarium Pacificum"
56,TRTC,Royal Ontario Museum Fungarium
57,CMMF,"Université de Montréal, Cercle des Mycologues de Montréal Fungarium"
58,CHRB,Chrysler Herbarium - Mycological Collection
59,MAINE,"University of Maine, Richard Homola Mycological Herbarium"
60,KANU,"University of Kansas, R. L. McGregor Herbarium"
61,WSP,"Charles Gardner Shaw Mycological Herbarium, Washington State University"
62,FNL,Foray Newfoundland and Labrador Fungarium
63,FNL,"Foray Newfoundland and Labrador, observation-based"
64,UACCC,University of Alabama Chytrid Culture Collection
65,CHSC,"Ahart Herbarium, CSU Chico - Mycological Collection"
66,MSC,Michigan State University Herbarium non-lichenized fungi
67,PH,Academy of Natural Sciences of Drexel University
68,UARK,University of Arkansas Fungarium
69,USCH,"University of South Carolina, A. C. Moore Herbarium Fungal Collection"
70,CINC,"University of Cincinnati, Margaret H. Fulford Herbarium - Fungi"
71,URV,University of Richmond
72,MISS,University of Mississippi
73,BAFC-H,Facultad de Ciencias Exactas y Naturales
74,NBM,New Brunswick Museum
75,QFB,René Pomerleau Herbarium
76,IND,Indiana University
78,ETH,"Addis Ababa University, specimen-based"
79,ETH,"Addis Ababa University, observation-based"
80,PDD,New Zealand Fungarium
81,ARIZ,"University of Arizona, Gilbertson Mycological Herbarium, observation-based"
82,SUCO,Jewell and Arline Moss Settle Herbarium at SUNY Oneonta
83,N/A,Brazil SpeciesLink Fungi data from iDigBio
85,UT,Natural History Museum of Utah Fungarium
86,iNat,iNaturalist Research Grade Observations
87,BRIT,Botanical Research Institute of Texas
88,LIMC,Long Island Mycological Club
89,MNA,Museum of Northern Arizona
90,BPI,Index of the C.G. Lloyd Mycological Collection Specimens Housed at BPI
91,N/A,Mushroom Mountain Fungarium
92,IASD,Indian Ascomycetes Fungal Database
93,IMUD,Indian Mushroom Database
94,IRFD,Indian Rust Fungal Database
95,IBUG,Universidad de Guadalajara
96,SWAT,Swat University Fungarium
97,LA,"University of California, Los Angeles"
98,IMUD,Indian Myxomycetes Database
99,IMUD,Indian Marine Fungi Database
100,UCHT,"University of Tennessee, Chattanooga"
101,UWSP,University of Wisconsin-Stevens Point Herbarium
102,FunDiS,Fungal Diversity Survey
103,ICMP,International Collection of Microorganisms from Plants
104,N/A,Atlas of Living Australia specimen-based fungal data
105,N/A,Atlas of Living Australia observation-based fungal data
106,MSC,MSU Advanced Mycology course - Fall 2018
107,BMSC,Bamfield Marine Science Centre
108,E,Royal Botanic Garden Edinburgh
109,UNM,University of New Mexico Herbarium Mycological Collection
110,PNW,Purdue University Northwest Mycology
111,NAMP-NYMS,"NAMP - New York Mycological Society: Macrofungi of New York City, New York"
112,QCAM,Ecuador Fungi data from FungiWebEcuador
113,S,Swedish Museum of Natural History
114,YSU,"Yugra State University Fungarium, specimen-based"
115,USFWS-PRR,Patuxent Research Refuge - Maryland
116,CBBG,Crested Butte Botanic Gardens
117,CR,"Museo Nacional de Costa Rica, specimen-based"
118,CR,"Museo Nacional de Costa Rica, observation-based"
119,VSC,Valdosta State University Herbarium
120,LJF,"Slovenian Fungal Database (Mikoteka in herbarij Gozdarskega inštituta Slovenije), observation-based"
121,LJF,"Slovenian Fungal Database (Mikoteka in herbarij Gozdarskega inštituta Slovenije), specimen-based"
122,IBUNAM,National Herbarium of Mexico Fungal Collection (Hongos del Herbario Nacional de México)
123,FR,Herbarium Senckenbergianum
124,C,University of Copenhagen
125,SBBG,Santa Barbara Botanic Garden
126,KEAN,Kean University
127,British Mycological Society,Fungal Records Database of Britain and Ireland
128,INEP,Institute of the Industrial Ecology Problems of the North of Kola Science Center of the Russian Academy of Sciences.
129,N/A,Cryptogamic Russian Information System (CRIS) Observational Data
130,N/A,Malta Mycological Association
131,YSU,Fungal records database of Khanty-Mansi Autonomous Okrug – Yugra
132,WIN,University of Manitoba
133,TNS,National Museum of Nature and Science - Japan
134,O,"University of Oslo, Natural History Museum Fungarium"
135,UPS,"Uppsala University, Museum of Evolution"
136,BDWR,Bridgewater College Herbarium
137,FTU,University of Central Florida
138,TAAM & EAA,Institute of Agricultural and Environmental Sciences of the Estonian University of Life Sciences (TAAM) & Estonian University of Life Sciences (EAA)
139,TU,University of Tartu Natural History Museum
140,TAM,Estonian Museum of Natural History
141,TALL,Tallinn Botanic Garden
142,HSC,Cal Poly Humboldt Fungarium
143,GB,University of Gothenburg
144,PC,Muséum National d'Histoire Naturelle
145,KR,Fungus Collections at Staatliches Museum für Naturkunde Karlsruhe
146,M,Fungal Collections at the Botanische Staatssammlung München
147,GLM,Fungal Collection at the Senckenberg Museum für Naturkunde Görlitz
148,AAFC,Canadian National Mycological Herbarium
149,PACA,Instituto Anchietano de Pesquisas/UNISINOS
150,L,Naturalis Biodiversity Center
151,BR,Meise Botanic Garden Herbarium
152,TEX,University of Texas Herbarium
153,UWAL,University of West Alabama Fungarium
154,CORD,Museo Botánico Córdoba Fungarium
155,MOR,Morton Arboretum
156,NMC-FUNGI,National Mushroom Centre
157,TAES,S.M. Tracy Herbarium Texas A&M University
158,UNCA,University of North Carolina Asheville
159,USAC,"Usac, Cecon, Herbario USCG Hongos"
160,CDA,California Department of Food and Agriculture - Fungi
162,HAY,California State University East Bay Fungarium
164,UBC-Obs,University of British Columbia Cortinarius updates
165,MUHW,Marshall University Herbarium - Fungi
166,PIORIN,Państwowa Inspekcja Ochrony Roślin i Nasiennictwa - Fungi
168,ODU,ODU Herbarium Macrofungal Collection
169,OSC,Oregon State University Herbarium - Lichens
171,IRVC,"University of California, Irvine Fungarium"
172,EWU,Eastern Washington University
173,DELETE,ODU Herbarium Macrofungal Collection
